Year,Month,Month Start Date,Community,Total Complaints,Total Number of Callers,data_as_of,data_loaded_at
2023,3,2023/03/01,Burlingame,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,2,2021/02/01,Emerald Hills,1025,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,4,2021/04/01,Mill Valley,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,5,2021/05/01,Boulder Creek,40,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,5,2021/05/01,Moraga,732,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,5,2021/05/01,Richmond,1931,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,6,2021/06/01,El Granada,614,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,7,2021/07/01,Los Altos Hills,1590,14,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,8,2019/08/01,West Menlo Park,2,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,4,2021/04/01,Emerald Hills,863,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,5,2021/05/01,Berkeley,768,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,6,2021/06/01,Berkeley,427,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,5,2020/05/01,Richmond,1057,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,7,2020/07/01,Cupertino,225,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,6,2020/06/01,East Palo Alto,13,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,7,2020/07/01,Pacifica,756,17,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,8,2020/08/01,Atherton,937,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,11,2020/11/01,Boulder Creek,4,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,10,2020/10/01,Orinda,30,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,5,2023/05/01,San Carlos,3,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,10,2020/10/01,Redwood City,574,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,6,2020/06/01,El Granada,482,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,10,2020/10/01,San Bruno,66,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,3,2023/03/01,Stanford,765,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,9,2021/09/01,Montara,107,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,10,2021/10/01,Millbrae,65,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,3,2023/03/01,Moraga,95,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,7,2023/07/01,Los Altos Hills,750,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,10,2021/10/01,San Jose,4,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,11,2021/11/01,Richmond,434,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,12,2021/12/01,Boulder Creek,39,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,11,2021/11/01,Alameda,58,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,9,2021/09/01,Burlingame,28,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
